Occupations,noc_5,TOTAL_WITH_EMP_INC,AVG_EMP_INC,aioe,caioe,groupmean,noc_title,exposure_level,comp_level,quadrant,label,noc_2,noc_1
"63211 Estheticians, electrologists and related occupations",63211,20,36000,5.933080109,4.652735137,0.562916667,"Estheticians, electrologists and related occupations",Low Exposure,Low Complementarity,LE-LC,,63,6
63220 Shoe repairers and shoemakers,63220,450,60897.7777777778,5.640286769,4.864747338,0.485833333,Shoe repairers and shoemakers,Low Exposure,Low Complementarity,LE-LC,,63,6
64100 Retail salespersons and visual merchandisers,64100,2630,56362.3574144487,6.049522856,4.700877995,0.570888889,Retail salespersons and visual merchandisers,High Exposure,Low Complementarity,HE-LC,,64,6
64101 Sales and account representatives - wholesale trade (non-technical),64101,950,86394.7368421053,6.310203142,4.557368936,0.626111111,Sales and account representatives - wholesale trade (non-technical),High Exposure,High Complementarity,HE-HC,,64,6
"64200 Tailors, dressmakers, furriers and milliners",64200,15,24000,5.789534627,4.750634802,0.527777778,"Tailors, dressmakers, furriers and milliners",Low Exposure,Low Complementarity,LE-LC,,64,6
"64201 Image, social and other personal consultants",64201,20,1e+05,5.883265754,4.391481569,0.598472222,"Image, social and other personal consultants",Low Exposure,Low Complementarity,LE-LC,,64,6
64310 Travel counsellors,64310,115,61260.8695652174,6.545554444,5.46735617,0.513055556,Travel counsellors,High Exposure,Low Complementarity,HE-LC,,64,6
64311 Pursers and flight attendants,64311,190,60000,5.621125335,3.599079925,0.706944444,Pursers and flight attendants,Low Exposure,High Complementarity,LE-HC,,64,6
64312 Airline ticket and service agents,64312,20,30000,6.137041535,4.872129085,0.554444444,Airline ticket and service agents,High Exposure,Low Complementarity,HE-LC,,64,6
64400 Customer services representatives - financial institutions,64400,55660,37219.7987782968,6.510472632,5.879318479,0.445277778,Customer services representatives - financial institutions,High Exposure,Low Complementarity,HE-LC,Représentants du service à la clientèle,64,6
64401 Postal services representatives,64401,265,40754.7169811321,5.87573802,4.946907117,0.506111111,Postal services representatives,Low Exposure,Low Complementarity,LE-LC,,64,6
64409 Other customer and information services representatives,64409,18895,43270.5213019317,6.608430958,5.197621068,0.561458333,Other customer and information services representatives,High Exposure,Low Complementarity,HE-LC,,64,6
64410 Security guards and related security service occupations,64410,1000,62338.5,5.844485653,4.275042406,0.617222222,Security guards and related security service occupations,Low Exposure,High Complementarity,LE-HC,,64,6
65100 Cashiers,65100,9800,109301.326530612,5.922752488,5.216957816,0.4675,Cashiers,Low Exposure,Low Complementarity,LE-LC,Caissiers,65,6
"65102 Store shelf stockers, clerks and order fillers",65102,230,30608.6956521739,5.490511607,4.525096649,0.524166667,"Store shelf stockers, clerks and order fillers",Low Exposure,Low Complementarity,LE-LC,,65,6
65109 Other sales related occupations,65109,395,42291.1392405063,6.415723604,5.074735259,0.55781746,Other sales related occupations,High Exposure,Low Complementarity,HE-LC,,65,6
65200 Food and beverage servers,65200,25,26000,5.438765246,4.587396642,0.503402778,Food and beverage servers,Low Exposure,Low Complementarity,LE-LC,,65,6
"65201 Food counter attendants, kitchen helpers and related support occupations",65201,515,30409.7087378641,5.689286435,4.894307881,0.488611111,"Food counter attendants, kitchen helpers and related support occupations",Low Exposure,Low Complementarity,LE-LC,,65,6
"65211 Operators and attendants in amusement, recreation and sport",65211,25,28000,5.969471199,4.256183929,0.634444444,"Operators and attendants in amusement, recreation and sport",Low Exposure,High Complementarity,LE-HC,,65,6
65310 Light duty cleaners,65310,505,,5.561989149,4.79268586,0.484027778,Light duty cleaners,Low Exposure,Low Complementarity,LE-LC,,65,6
"65312 Janitors, caretakers and heavy-duty cleaners",65312,245,28367.3469387755,5.388025524,4.055985881,0.595555556,"Janitors, caretakers and heavy-duty cleaners",Low Exposure,Low Complementarity,LE-LC,,65,6
65329 Other service support occupations,65329,40,50000,5.900750888,4.456034281,0.592118056,Other service support occupations,Low Exposure,Low Complementarity,LE-LC,,65,6
70010 Construction managers,70010,205,86731.7073170732,6.502255361,3.785757566,0.766111111,Construction managers,High Exposure,High Complementarity,HE-HC,,70,7
70012 Facility operation and maintenance managers,70012,710,86507.0422535211,6.499978183,4.520672611,0.652962963,Facility operation and maintenance managers,High Exposure,High Complementarity,HE-HC,,70,7
70020 Managers in transportation,70020,120,103708.333333333,6.533072448,4.536163667,0.654666667,Managers in transportation,High Exposure,High Complementarity,HE-HC,,70,7
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",72014,20,60000,5.877118694,3.502261648,0.752361111,"Contractors and supervisors, other construction trades, installers, repairers and servicers",Low Exposure,High Complementarity,LE-HC,,72,7
72100 Machinists and machining and tooling inspectors,72100,0,,5.644522322,4.501506551,0.550833333,Machinists and machining and tooling inspectors,Low Exposure,Low Complementarity,LE-LC,,72,7
72106 Welders and related machine operators,72106,80,1e+05,5.566512468,4.718187291,0.500763889,Welders and related machine operators,Low Exposure,Low Complementarity,LE-LC,,72,7
72200 Electricians (except industrial and power system),72200,40,68000,5.664204633,3.527540775,0.725555556,Electricians (except industrial and power system),Low Exposure,High Complementarity,LE-HC,,72,7
72205 Telecommunications equipment installation and cable television service technicians,72205,65,64923.0769230769,5.697080353,4.080310966,0.632222222,Telecommunications equipment installation and cable television service technicians,Low Exposure,High Complementarity,LE-HC,,72,7
72310 Carpenters,72310,100,45000,5.445526961,4.013644526,0.611111111,Carpenters,Low Exposure,Low Complementarity,LE-LC,,72,7
72400 Construction millwrights and industrial mechanics,72400,15,90000,5.503397191,3.97350449,0.626805556,Construction millwrights and industrial mechanics,Low Exposure,High Complementarity,LE-HC,,72,7
72401 Heavy-duty equipment mechanics,72401,20,95000,5.498892024,3.797934181,0.657638889,Heavy-duty equipment mechanics,Low Exposure,High Complementarity,LE-HC,,72,7
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers",72410,100,51600,5.647499861,4.12237118,0.618492063,"Automotive service technicians, truck and bus mechanics and mechanical repairers",Low Exposure,High Complementarity,LE-HC,,72,7
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators",72411,185,63243.2432432433,5.499668328,4.347096827,0.557916667,"Auto body collision, refinishing and glass technicians and damage repair estimators",Low Exposure,Low Complementarity,LE-LC,,72,7
73110 Roofers and shinglers,73110,95,51157.8947368421,5.244433036,3.618658795,0.658333333,Roofers and shinglers,Low Exposure,High Complementarity,LE-HC,,73,7
73201 General building maintenance workers and building superintendents,73201,480,,5.587066367,3.639352953,0.696944444,General building maintenance workers and building superintendents,Low Exposure,High Complementarity,LE-HC,,73,7
73300 Transport truck drivers,73300,225,48777.7777777778,5.6039813,4.146725542,0.608472222,Transport truck drivers,Low Exposure,Low Complementarity,LE-LC,,73,7
"73301 Bus drivers, subway operators and other transit operators",73301,30,42500,5.75381356,4.516841837,0.563333333,"Bus drivers, subway operators and other transit operators",Low Exposure,Low Complementarity,LE-LC,,73,7
73400 Heavy equipment operators,73400,10,120000,5.527178568,3.89664064,0.643214286,Heavy equipment operators,Low Exposure,High Complementarity,LE-HC,,73,7
74100 Mail and parcel sorters and related occupations,74100,255,36990.1960784314,5.50043463,5.052760367,0.429722222,Mail and parcel sorters and related occupations,Low Exposure,Low Complementarity,LE-LC,,74,7
74102 Couriers and messengers,74102,150,43333.3333333333,5.567333508,4.386514479,0.560277778,Couriers and messengers,Low Exposure,Low Complementarity,LE-LC,,74,7
75101 Material handlers,75101,185,48918.9189189189,5.792257996,4.375229604,0.590396825,Material handlers,Low Exposure,Low Complementarity,LE-LC,,75,7
75110 Construction trades helpers and labourers,75110,140,38857.1428571429,5.415087031,3.92883992,0.621925926,Construction trades helpers and labourers,Low Exposure,High Complementarity,LE-HC,,75,7
75201 Delivery service drivers and door-to-door distributors,75201,70,,5.567333508,4.386514479,0.560277778,Delivery service drivers and door-to-door distributors,Low Exposure,Low Complementarity,LE-LC,,75,7
75212 Public works and maintenance labourers,75212,10,18000,5.382308612,4.492732605,0.513611111,Public works and maintenance labourers,Low Exposure,Low Complementarity,LE-LC,,75,7
80010 Managers in natural resources production and fishing,80010,25,220000,6.382130059,4.324840004,0.671481481,Managers in natural resources production and fishing,High Exposure,High Complementarity,HE-HC,,80,8
80020 Managers in agriculture,80020,125,67120,5.843659754,3.933999933,0.672407407,Managers in agriculture,Low Exposure,High Complementarity,LE-HC,,80,8
"83101 Oil and gas well drillers, servicers, testers and related workers",83101,20,90000,5.596483606,3.491583938,0.724444444,"Oil and gas well drillers, servicers, testers and related workers",Low Exposure,High Complementarity,LE-HC,,83,8
85121 Landscaping and grounds maintenance labourers,85121,95,,5.368045042,3.999847951,0.602777778,Landscaping and grounds maintenance labourers,Low Exposure,Low Complementarity,LE-LC,,85,8
92100 Power engineers and power systems operators,92100,20,,5.734984432,4.36120416,0.585902778,Power engineers and power systems operators,Low Exposure,Low Complementarity,LE-LC,,92,9
"93101 Central control and process operators, petroleum, gas and chemical processing",93101,20,80000,5.759065824,4.192607113,0.620092593,"Central control and process operators, petroleum, gas and chemical processing",Low Exposure,High Complementarity,LE-HC,,93,9
"94141 Industrial butchers and meat cutters, poultry preparers and related workers",94141,10,,5.446901448,4.448294631,0.531851852,"Industrial butchers and meat cutters, poultry preparers and related workers",Low Exposure,Low Complementarity,LE-LC,,94,9
94150 Plateless printing equipment operators,94150,75,58800,5.801475923,5.30835047,0.433333333,Plateless printing equipment operators,Low Exposure,Low Complementarity,LE-LC,,94,9
"94200 Motor vehicle assemblers, inspectors and testers",94200,15,60000,5.741951813,4.407505302,0.580555556,"Motor vehicle assemblers, inspectors and testers",Low Exposure,Low Complementarity,LE-LC,,94,9
"95103 Labourers in wood, pulp and paper processing",95103,30,30000,5.39842728,4.543676294,0.506666667,"Labourers in wood, pulp and paper processing",Low Exposure,Low Complementarity,LE-LC,,95,9
95106 Labourers in food and beverage processing,95106,40,12000,5.39842728,4.543676294,0.506666667,Labourers in food and beverage processing,Low Exposure,Low Complementarity,LE-LC,,95,9
"95109 Other labourers in processing, manufacturing and utilities",95109,120,,5.658769882,4.524399859,0.547383041,"Other labourers in processing, manufacturing and utilities",Low Exposure,Low Complementarity,LE-LC,,95,9
